cohort_month,order_month,customers
2020-03-01,2024-07-01,4
2020-03-01,2024-08-01,5
2020-03-01,2024-09-01,6
2020-03-01,2024-10-01,4
2020-03-01,2024-11-01,5
2020-03-01,2024-12-01,4
2020-03-01,2025-01-01,5
2020-03-01,2025-02-01,8
2020-03-01,2025-03-01,2
2020-03-01,2025-04-01,6
2020-04-01,2020-04-01,200
2020-04-01,2020-05-01,2
2020-04-01,2020-06-01,7
2020-04-01,2020-07-01,10
2020-04-01,2020-08-01,5
2020-04-01,2020-09-01,2
2020-04-01,2020-10-01,5
2020-04-01,2020-11-01,6
2020-04-01,2020-12-01,9
2020-04-01,2021-01-01,3
2020-04-01,2021-02-01,8
2020-04-01,2021-03-01,3
2020-04-01,2021-04-01,5
2020-04-01,2021-05-01,7
2020-04-01,2021-06-01,8
2020-04-01,2021-07-01,5
2020-04-01,2021-08-01,4
2020-04-01,2021-09-01,3
2020-04-01,2021-10-01,5
2020-04-01,2021-11-01,7
2020-04-01,2021-12-01,5
2020-04-01,2022-01-01,4
2020-04-01,2022-02-01,6
2020-04-01,2022-03-01,7
2020-04-01,2022-04-01,2
2020-04-01,2022-05-01,4
2020-04-01,2022-06-01,7
2020-04-01,2022-07-01,3
2020-04-01,2022-08-01,5
2020-04-01,2022-09-01,3
2020-04-01,2022-10-01,2
2020-04-01,2022-11-01,4
2020-04-01,2022-12-01,5
2020-04-01,2023-01-01,2
2020-04-01,2023-02-01,3
2020-04-01,2023-03-01,6
2020-04-01,2023-04-01,2
2020-04-01,2023-05-01,2
2020-04-01,2023-06-01,6
2020-04-01,2023-07-01,3
2020-04-01,2023-08-01,2
2020-04-01,2023-09-01,6
2020-04-01,2023-10-01,6
2020-04-01,2023-11-01,4
2020-04-01,2023-12-01,13
2020-04-01,2024-01-01,7
2020-04-01,2024-02-01,7
2020-04-01,2024-03-01,4
2020-04-01,2024-04-01,5
2020-04-01,2024-05-01,9
2020-04-01,2024-06-01,3
2020-04-01,2024-07-01,6
2020-04-01,2024-08-01,1
2020-04-01,2024-09-01,8
2020-04-01,2024-10-01,3
2020-04-01,2024-11-01,9
2020-04-01,2024-12-01,4
2020-04-01,2025-01-01,6
2020-04-01,2025-02-01,1
2020-04-01,2025-03-01,4
2020-04-01,2025-04-01,5
2020-05-01,2020-05-01,209
2020-05-01,2020-06-01,4
2020-05-01,2020-07-01,10
2020-05-01,2020-08-01,3
2020-05-01,2020-09-01,5
2020-05-01,2020-10-01,7
2020-05-01,2020-11-01,8
2020-05-01,2020-12-01,6
2020-05-01,2021-01-01,8
2020-05-01,2021-02-01,5
2020-05-01,2021-03-01,5
2020-05-01,2021-04-01,3
2020-05-01,2021-05-01,8
2020-05-01,2021-06-01,4
2020-05-01,2021-07-01,5
2020-05-01,2021-08-01,2
2020-05-01,2021-09-01,9
2020-05-01,2021-10-01,5
2020-05-01,2021-11-01,7
2020-05-01,2021-12-01,2
2020-05-01,2022-01-01,5
2020-05-01,2022-02-01,4
2020-05-01,2022-03-01,4
2020-05-01,2022-04-01,6
2020-05-01,2022-05-01,4
2020-05-01,2022-06-01,2
2020-05-01,2022-07-01,9
2020-05-01,2022-08-01,9
2020-05-01,2022-09-01,4
2020-05-01,2022-10-01,4
2020-05-01,2022-11-01,5
2020-05-01,2022-12-01,6
2020-05-01,2023-01-01,10
2020-05-01,2023-02-01,5
2020-05-01,2023-03-01,2
2020-05-01,2023-04-01,10
2020-05-01,2023-05-01,4
2020-05-01,2023-06-01,6
2020-05-01,2023-07-01,12
2020-05-01,2023-08-01,5
2020-05-01,2023-09-01,1
2020-05-01,2023-10-01,5
2020-05-01,2023-11-01,2
2020-05-01,2023-12-01,4
2020-05-01,2024-01-01,4
2020-05-01,2024-02-01,4
2020-05-01,2024-03-01,8
2020-05-01,2024-04-01,3
2020-05-01,2024-05-01,7
2020-05-01,2024-06-01,8
2020-05-01,2024-07-01,7
2020-05-01,2024-08-01,3
2020-05-01,2024-09-01,3
2020-05-01,2024-10-01,4
2020-05-01,2024-11-01,6
2020-05-01,2024-12-01,6
2020-05-01,2025-01-01,5
2020-05-01,2025-02-01,6
2020-05-01,2025-03-01,7
2020-05-01,2025-04-01,4
2020-06-01,2020-06-01,208
2020-06-01,2020-07-01,7
2020-06-01,2020-08-01,8
2020-06-01,2020-09-01,5
2020-06-01,2020-10-01,6
2020-06-01,2020-11-01,6
2020-06-01,2020-12-01,5
2020-06-01,2021-01-01,6
2020-06-01,2021-02-01,6
2020-06-01,2021-03-01,4
2020-06-01,2021-04-01,8
2020-06-01,2021-05-01,5
2020-06-01,2021-06-01,2
2020-06-01,2021-07-01,5
2020-06-01,2021-08-01,8
2020-06-01,2021-09-01,6
2020-06-01,2021-10-01,4
2020-06-01,2021-11-01,5
2020-06-01,2021-12-01,5
2020-06-01,2022-01-01,5
2020-06-01,2022-02-01,4
2020-06-01,2022-03-01,1
2020-06-01,2022-04-01,3
2020-06-01,2022-05-01,5
2020-06-01,2022-06-01,4
2020-06-01,2022-07-01,6
2020-06-01,2022-08-01,6
2020-06-01,2022-09-01,3
2020-06-01,2022-10-01,7
2020-06-01,2022-11-01,5
2020-06-01,2022-12-01,5
2020-06-01,2023-01-01,8
2020-06-01,2023-02-01,5
2020-06-01,2023-03-01,11
2020-06-01,2023-04-01,8
2020-06-01,2023-05-01,8
2020-06-01,2023-06-01,5
2020-06-01,2023-07-01,2
2020-06-01,2023-08-01,5
2020-06-01,2023-09-01,4
2020-06-01,2023-10-01,6
2020-06-01,2023-11-01,5
2020-06-01,2023-12-01,4
2020-06-01,2024-01-01,6
2020-06-01,2024-02-01,9
2020-06-01,2024-03-01,7
2020-06-01,2024-04-01,3
2020-06-01,2024-05-01,10
2020-06-01,2024-06-01,8
2020-06-01,2024-07-01,6
2020-06-01,2024-08-01,1
2020-06-01,2024-09-01,4
2020-06-01,2024-10-01,7
2020-06-01,2024-11-01,9
2020-06-01,2024-12-01,3
2020-06-01,2025-01-01,4
2020-06-01,2025-02-01,5
2020-06-01,2025-03-01,6
2020-06-01,2025-04-01,6
2020-07-01,2020-07-01,206
2020-07-01,2020-08-01,11
2020-07-01,2020-09-01,1
2020-07-01,2020-10-01,4
2020-07-01,2020-11-01,1
2020-07-01,2020-12-01,4
2020-07-01,2021-01-01,4
2020-07-01,2021-02-01,8
2020-07-01,2021-03-01,5
2020-07-01,2021-04-01,4
2020-07-01,2021-05-01,10
2020-07-01,2021-06-01,5
2020-07-01,2021-07-01,4
2020-07-01,2021-08-01,3
2020-07-01,2021-09-01,8
2020-07-01,2021-10-01,5
2020-07-01,2021-11-01,6
2020-07-01,2021-12-01,6
2020-07-01,2022-01-01,5
2020-07-01,2022-02-01,5
2020-07-01,2022-03-01,4
2020-07-01,2022-04-01,5
2020-07-01,2022-05-01,7
2020-07-01,2022-06-01,6
2020-07-01,2022-07-01,6
2020-07-01,2022-08-01,4
2020-07-01,2022-09-01,5
2020-07-01,2022-10-01,8
2020-07-01,2022-11-01,4
2020-07-01,2022-12-01,3
2020-07-01,2023-01-01,8
2020-07-01,2023-02-01,3
2020-07-01,2023-03-01,1
2020-07-01,2023-04-01,5
2020-07-01,2023-05-01,5
2020-07-01,2023-06-01,6
2020-07-01,2023-07-01,8
2020-07-01,2023-08-01,8
2020-07-01,2023-09-01,8
2020-07-01,2023-10-01,5
2020-07-01,2023-11-01,4
2020-07-01,2023-12-01,1
2020-07-01,2024-01-01,4
2020-07-01,2024-02-01,8
2020-07-01,2024-03-01,4
2020-07-01,2024-04-01,5
2020-07-01,2024-05-01,6
2020-07-01,2024-06-01,4
2020-07-01,2024-07-01,9
2020-07-01,2024-08-01,3
2020-07-01,2024-09-01,1
2020-07-01,2024-10-01,6
2020-07-01,2024-11-01,7
2020-07-01,2024-12-01,2
2020-07-01,2025-01-01,11
2020-07-01,2025-02-01,4
2020-07-01,2025-03-01,5
2020-07-01,2025-04-01,4
2020-08-01,2020-08-01,190
2020-08-01,2020-09-01,3
2020-08-01,2020-10-01,4
2020-08-01,2020-11-01,6
2020-08-01,2020-12-01,8
2020-08-01,2021-01-01,10
2020-08-01,2021-02-01,7
2020-08-01,2021-03-01,4
2020-08-01,2021-04-01,6
2020-08-01,2021-05-01,3
2020-08-01,2021-06-01,3
2020-08-01,2021-07-01,6
2020-08-01,2021-08-01,3
2020-08-01,2021-09-01,6
2020-08-01,2021-10-01,6
2020-08-01,2021-11-01,4
2020-08-01,2021-12-01,5
2020-08-01,2022-01-01,6
2020-08-01,2022-02-01,2
2020-08-01,2022-03-01,4
2020-08-01,2022-04-01,2
2020-08-01,2022-05-01,4
2020-08-01,2022-06-01,1
2020-08-01,2022-07-01,8
2020-08-01,2022-08-01,6
2020-08-01,2022-09-01,5
2020-08-01,2022-10-01,2
2020-08-01,2022-11-01,3
2020-08-01,2022-12-01,4
2020-08-01,2023-01-01,4
2020-08-01,2023-02-01,3
2020-08-01,2023-03-01,4
2020-08-01,2023-04-01,1
2020-08-01,2023-05-01,5
2020-08-01,2023-06-01,3
2020-08-01,2023-07-01,1
2020-08-01,2023-08-01,4
2020-08-01,2023-09-01,8
2020-08-01,2023-10-01,10
2020-08-01,2023-11-01,6
2020-08-01,2023-12-01,3
2020-08-01,2024-01-01,9
2020-08-01,2024-02-01,4
2020-08-01,2024-03-01,4
2020-08-01,2024-04-01,6
2020-08-01,2024-05-01,3
2020-08-01,2024-06-01,4
2020-08-01,2024-07-01,4
2020-08-01,2024-08-01,4
2020-08-01,2024-09-01,3
2020-08-01,2024-10-01,5
2020-08-01,2024-11-01,6
2020-08-01,2024-12-01,4
2020-08-01,2025-01-01,2
2020-08-01,2025-02-01,7
2020-08-01,2025-03-01,7
2020-08-01,2025-04-01,8
2020-09-01,2020-09-01,162
2020-09-01,2020-10-01,8
2020-09-01,2020-11-01,2
2020-09-01,2020-12-01,5
2020-09-01,2021-01-01,4
2020-09-01,2021-02-01,3
2020-09-01,2021-03-01,7
2020-09-01,2021-04-01,1
2020-09-01,2021-05-01,5
2020-09-01,2021-06-01,5
2020-09-01,2021-07-01,2
2020-09-01,2021-08-01,6
2020-09-01,2021-09-01,2
2020-09-01,2021-10-01,5
2020-09-01,2021-11-01,6
2020-09-01,2021-12-01,5
2020-09-01,2022-01-01,3
2020-09-01,2022-02-01,6
2020-09-01,2022-03-01,3
2020-09-01,2022-04-01,10
2020-09-01,2022-05-01,1
2020-09-01,2022-06-01,6
2020-09-01,2022-07-01,5
2020-09-01,2022-08-01,5
2020-09-01,2022-09-01,3
2020-09-01,2022-10-01,4
2020-09-01,2022-11-01,9
2020-09-01,2022-12-01,4
2020-09-01,2023-01-01,4
2020-09-01,2023-02-01,5
2020-09-01,2023-03-01,4
2020-09-01,2023-04-01,4
2020-09-01,2023-05-01,4
2020-09-01,2023-06-01,7
2020-09-01,2023-07-01,5
2020-09-01,2023-08-01,7
2020-09-01,2023-09-01,6
2020-09-01,2023-10-01,4
2020-09-01,2023-11-01,5
2020-09-01,2023-12-01,5
2020-09-01,2024-01-01,6
2020-09-01,2024-02-01,1
2020-09-01,2024-03-01,7
2020-09-01,2024-04-01,2
2020-09-01,2024-05-01,4
2020-09-01,2024-06-01,7
2020-09-01,2024-07-01,5
2020-09-01,2024-08-01,1
2020-09-01,2024-09-01,3
2020-09-01,2024-10-01,4
2020-09-01,2024-11-01,3
2020-09-01,2024-12-01,2
2020-09-01,2025-01-01,1
2020-09-01,2025-02-01,7
2020-09-01,2025-03-01,1
2020-09-01,2025-04-01,4
2020-10-01,2020-10-01,179
2020-10-01,2020-11-01,5
2020-10-01,2020-12-01,2
2020-10-01,2021-01-01,3
2020-10-01,2021-02-01,7
2020-10-01,2021-03-01,7
2020-10-01,2021-04-01,5
2020-10-01,2021-05-01,5
2020-10-01,2021-06-01,4
2020-10-01,2021-07-01,3
2020-10-01,2021-08-01,3
2020-10-01,2021-09-01,4
2020-10-01,2021-10-01,5
2020-10-01,2021-11-01,5
2020-10-01,2021-12-01,9
2020-10-01,2022-01-01,4
2020-10-01,2022-02-01,5
2020-10-01,2022-03-01,3
2020-10-01,2022-04-01,5
2020-10-01,2022-05-01,5
2020-10-01,2022-06-01,4
2020-10-01,2022-07-01,5
2020-10-01,2022-08-01,2
2020-10-01,2022-09-01,1
2020-10-01,2022-10-01,6
2020-10-01,2022-11-01,2
2020-10-01,2022-12-01,3
2020-10-01,2023-01-01,8
2020-10-01,2023-02-01,9
2020-10-01,2023-03-01,3
2020-10-01,2023-04-01,5
2020-10-01,2023-05-01,6
2020-10-01,2023-06-01,3
2020-10-01,2023-07-01,6
2020-10-01,2023-08-01,1
2020-10-01,2023-09-01,2
2020-10-01,2023-10-01,3
2020-10-01,2023-11-01,7
2020-10-01,2024-01-01,7
2020-10-01,2024-02-01,2
2020-10-01,2024-03-01,4
2020-10-01,2024-04-01,4
2020-10-01,2024-05-01,5
2020-10-01,2024-06-01,5
2020-10-01,2024-07-01,7
2020-10-01,2024-08-01,2
2020-10-01,2024-10-01,1
2020-10-01,2024-11-01,1
2020-10-01,2024-12-01,2
2020-10-01,2025-01-01,7
2020-10-01,2025-02-01,3
2020-10-01,2025-03-01,8
2020-10-01,2025-04-01,3
2020-11-01,2020-11-01,174
2020-11-01,2020-12-01,1
2020-11-01,2021-01-01,2
2020-11-01,2021-02-01,6
2020-11-01,2021-03-01,3
2020-11-01,2021-04-01,6
2020-11-01,2021-05-01,6
2020-11-01,2021-06-01,6
2020-11-01,2021-07-01,5
2020-11-01,2021-08-01,8
2020-11-01,2021-09-01,7
2020-11-01,2021-10-01,5
2020-11-01,2021-11-01,8
2020-11-01,2021-12-01,5
2020-11-01,2022-01-01,2
2020-11-01,2022-02-01,3
2020-11-01,2022-03-01,6
2020-11-01,2022-04-01,5
2020-11-01,2022-05-01,5
2020-11-01,2022-06-01,7
2020-11-01,2022-07-01,7
2020-11-01,2022-08-01,7
2020-11-01,2022-09-01,6
2020-11-01,2022-10-01,3
2020-11-01,2022-11-01,6
2020-11-01,2022-12-01,5
2020-11-01,2023-01-01,5
2020-11-01,2023-02-01,2
2020-11-01,2023-03-01,3
2020-11-01,2023-04-01,8
2020-11-01,2023-05-01,2
2020-11-01,2023-06-01,3
2020-11-01,2023-07-01,6
2020-11-01,2023-08-01,6
2020-11-01,2023-09-01,3
2020-11-01,2023-10-01,5
2020-11-01,2023-11-01,4
2020-11-01,2023-12-01,9
2020-11-01,2024-01-01,5
2020-11-01,2024-02-01,8
2020-11-01,2024-03-01,5
2020-11-01,2024-04-01,4
2020-11-01,2024-05-01,3
2020-11-01,2024-06-01,4
2020-11-01,2024-07-01,3
2020-11-01,2024-08-01,2
2020-11-01,2024-09-01,1
2020-11-01,2024-10-01,5
2020-11-01,2024-11-01,3
2020-11-01,2024-12-01,2
2020-11-01,2025-01-01,4
2020-11-01,2025-02-01,2
2020-11-01,2025-03-01,6
2020-11-01,2025-04-01,4
2020-12-01,2020-12-01,198
2020-12-01,2021-01-01,8
2020-12-01,2021-02-01,3
2020-12-01,2021-03-01,9
2020-12-01,2021-04-01,5
2020-12-01,2021-05-01,3
2020-12-01,2021-06-01,7
2020-12-01,2021-07-01,7
2020-12-01,2021-08-01,7
2020-12-01,2021-09-01,2
2020-12-01,2021-10-01,4
2020-12-01,2021-11-01,7
2020-12-01,2021-12-01,4
2020-12-01,2022-01-01,3
2020-12-01,2022-02-01,4
2020-12-01,2022-03-01,9
2020-12-01,2022-04-01,7
2020-12-01,2022-05-01,3
2020-12-01,2022-06-01,6
2020-12-01,2022-07-01,4
2020-12-01,2022-08-01,6
2020-12-01,2022-09-01,2
2020-12-01,2022-10-01,2
2020-12-01,2022-11-01,4
2020-12-01,2022-12-01,4
2020-12-01,2023-01-01,5
2020-12-01,2023-02-01,5
2020-12-01,2023-03-01,7
2020-12-01,2023-04-01,4
2020-12-01,2023-05-01,6
2020-12-01,2023-06-01,4
2020-12-01,2023-07-01,2
2020-12-01,2023-08-01,5
2020-12-01,2023-09-01,7
2020-12-01,2023-10-01,4
2020-12-01,2023-11-01,10
2020-12-01,2023-12-01,4
2020-12-01,2024-01-01,8
2020-12-01,2024-02-01,7
2020-12-01,2024-03-01,5
2020-12-01,2024-04-01,6
2020-12-01,2024-05-01,5
2020-12-01,2024-06-01,5
2020-12-01,2024-07-01,4
2020-12-01,2024-08-01,5
2020-12-01,2024-09-01,3
2020-12-01,2024-10-01,3
2020-12-01,2024-11-01,3
2020-12-01,2024-12-01,2
2020-12-01,2025-01-01,4
2020-12-01,2025-02-01,5
2020-12-01,2025-03-01,5
2020-12-01,2025-04-01,7
2021-01-01,2021-01-01,164
2021-01-01,2021-02-01,4
2021-01-01,2021-03-01,6
2021-01-01,2021-04-01,7
2021-01-01,2021-05-01,4
2021-01-01,2021-06-01,1
2021-01-01,2021-07-01,1
2021-01-01,2021-08-01,5
2021-01-01,2021-09-01,9
2021-01-01,2021-10-01,7
2021-01-01,2021-11-01,7
2021-01-01,2021-12-01,5
2021-01-01,2022-01-01,3
2021-01-01,2022-02-01,2
2021-01-01,2022-03-01,5
2021-01-01,2022-04-01,4
2021-01-01,2022-05-01,4
2021-01-01,2022-06-01,3
2021-01-01,2022-07-01,3
2021-01-01,2022-08-01,2
2021-01-01,2022-09-01,9
2021-01-01,2022-10-01,5
2021-01-01,2022-11-01,5
2021-01-01,2022-12-01,3
2021-01-01,2023-01-01,4
2021-01-01,2023-02-01,7
2021-01-01,2023-03-01,2
2021-01-01,2023-04-01,2
2021-01-01,2023-05-01,4
2021-01-01,2023-06-01,6
2021-01-01,2023-07-01,3
2021-01-01,2023-08-01,8
2021-01-01,2023-09-01,5
2021-01-01,2023-10-01,7
2021-01-01,2023-11-01,3
2021-01-01,2023-12-01,7
2021-01-01,2024-01-01,1
2021-01-01,2024-02-01,2
2021-01-01,2024-03-01,5
2021-01-01,2024-04-01,4
2021-01-01,2024-05-01,6
2021-01-01,2024-06-01,5
2021-01-01,2024-07-01,5
2021-01-01,2024-08-01,3
2021-01-01,2024-09-01,6
2021-01-01,2024-10-01,3
2021-01-01,2024-11-01,4
2021-01-01,2024-12-01,3
2021-01-01,2025-01-01,4
2021-01-01,2025-02-01,3
2021-01-01,2025-03-01,2
2021-01-01,2025-04-01,5
2021-02-01,2021-02-01,142
2021-02-01,2021-03-01,1
2021-02-01,2021-04-01,3
2021-02-01,2021-05-01,1
2021-02-01,2021-06-01,3
2021-02-01,2021-07-01,5
2021-02-01,2021-08-01,5
2021-02-01,2021-09-01,3
2021-02-01,2021-10-01,4
2021-02-01,2021-11-01,1
2021-02-01,2021-12-01,3
2021-02-01,2022-01-01,3
2021-02-01,2022-02-01,4
2021-02-01,2022-03-01,2
2021-02-01,2022-04-01,4
2021-02-01,2022-05-01,2
2021-02-01,2022-06-01,3
2021-02-01,2022-07-01,6
2021-02-01,2022-08-01,6
2021-02-01,2022-09-01,6
2021-02-01,2022-10-01,4
2021-02-01,2022-11-01,6
2021-02-01,2022-12-01,8
2021-02-01,2023-01-01,4
2021-02-01,2023-02-01,2
2021-02-01,2023-03-01,2
2021-02-01,2023-04-01,2
2021-02-01,2023-05-01,9
2021-02-01,2023-06-01,8
2021-02-01,2023-07-01,4
2021-02-01,2023-08-01,7
2021-02-01,2023-09-01,5
2021-02-01,2023-10-01,4
2021-02-01,2023-11-01,3
2021-02-01,2023-12-01,5
2021-02-01,2024-01-01,5
2021-02-01,2024-02-01,3
2021-02-01,2024-03-01,4
2021-02-01,2024-04-01,1
2021-02-01,2024-05-01,6
2021-02-01,2024-06-01,3
2021-02-01,2024-07-01,3
2021-02-01,2024-08-01,5
2021-02-01,2024-09-01,4
2021-02-01,2024-10-01,3
2021-02-01,2024-11-01,3
2021-02-01,2024-12-01,3
2021-02-01,2025-01-01,5
2021-02-01,2025-02-01,4
2021-02-01,2025-03-01,4
2021-02-01,2025-04-01,3
2021-03-01,2021-03-01,155
2021-03-01,2021-04-01,2
2021-03-01,2021-05-01,1
2021-03-01,2021-06-01,3
2021-03-01,2021-07-01,3
2021-03-01,2021-08-01,4
2021-03-01,2021-09-01,3
2021-03-01,2021-10-01,4
2021-03-01,2021-11-01,6
2021-03-01,2021-12-01,3
2021-03-01,2022-01-01,4
2021-03-01,2022-02-01,4
2021-03-01,2022-03-01,2
2021-03-01,2022-04-01,3
2021-03-01,2022-05-01,3
2021-03-01,2022-06-01,8
2021-03-01,2022-07-01,7
2021-03-01,2022-08-01,6
2021-03-01,2022-09-01,7
2021-03-01,2022-10-01,10
2021-03-01,2022-11-01,5
2021-03-01,2022-12-01,8
2021-03-01,2023-01-01,7
2021-03-01,2023-02-01,3
2021-03-01,2023-03-01,5
2021-03-01,2023-04-01,5
2021-03-01,2023-05-01,3
2021-03-01,2023-06-01,6
2021-03-01,2023-07-01,7
2021-03-01,2023-08-01,3
2021-03-01,2023-09-01,3
2021-03-01,2023-10-01,3
2021-03-01,2023-11-01,1
2021-03-01,2023-12-01,4
2021-03-01,2024-01-01,5
2021-03-01,2024-02-01,4
2021-03-01,2024-03-01,4
2021-03-01,2024-04-01,4
2021-03-01,2024-05-01,3
2021-03-01,2024-06-01,6
2021-03-01,2024-07-01,2
2021-03-01,2024-08-01,4
2021-03-01,2024-09-01,7
2021-03-01,2024-10-01,6
2021-03-01,2024-11-01,3
2021-03-01,2024-12-01,5
2021-03-01,2025-01-01,4
2021-03-01,2025-02-01,5
2021-03-01,2025-03-01,4
2021-03-01,2025-04-01,5
2021-04-01,2021-04-01,156
2021-04-01,2021-05-01,7
2021-04-01,2021-06-01,4
2021-04-01,2021-07-01,6
2021-04-01,2021-08-01,5
2021-04-01,2021-09-01,5
2021-04-01,2021-10-01,2
2021-04-01,2021-11-01,6
2021-04-01,2021-12-01,6
2021-04-01,2022-01-01,2
2021-04-01,2022-02-01,1
2021-04-01,2022-03-01,3
2021-04-01,2022-04-01,1
2021-04-01,2022-05-01,4
2021-04-01,2022-06-01,4
2021-04-01,2022-07-01,3
2021-04-01,2022-08-01,5
2021-04-01,2022-09-01,3
2021-04-01,2022-10-01,1
2021-04-01,2022-11-01,8
2021-04-01,2022-12-01,2
